,,,,,,,,,,,,,,,,,
Contactos,,,,,Clientes,,,,,Documentos,,,,,Siniestros,,
,,,,,DatDoctoDetail.Observaciones,Observaciones Transportes/Empresariales,,,,DatDocumentos.IsCoaseguro,Coaseguro,,,,TipoDeducible,Tipo de Deducible,
,,,,,DatDoctoDetail.Origen,Transportes Origen de la Mercancia,,,,DatDocumentos.IsReaseguro,Reaseguro,,,,TipoGestion,Tipo de Gestion,
,,,,,DatDoctoDetail.Destino,Transportes Destino de la mercancia,,,,DatDocumentos.FRevision2,Segunda Revisión,,,,FRevision,Fecha de revisión,
,,,,,DatDoctoDetail.TipoDeclara,"Transportes Tipo de Transportes (Anual, Mensual, Especifica)",,,,DatDocumentos.UserReviso2,Usuario 2da Revisión,Catalogo,,,PeriodoVig,Periodo de vigencia al que pertenece el siniestro de acuerdo a la fecha de siniestralidad,
,,,,,DatDoctoDetail.SAAdic1,Transportes Suma Asegurada Adicional 1 VGpo SAsegurada,,,,DatDocumentos.RetCom,Retener Comisión,,,,TipoDocto,Tipo de documento EXTERNA O INTERNA de acuerdo al prefijo de la clave del agente,
,,,,,DatDoctoDetail.SAAdic2,Transportes Suma Asegurada Adicional 2,,,,DatDocumentos.Comision10,Adicional 4,,,,IDFacturaOrig,ID de la factura original,Campo específico Murgía
,,,,,DatDoctoDetail.SAAdic3,Transportes Suma Asegurada Adicional 3,,,,DatDocumentos.PorCom10,% Com. Adicional 4,,,,FPendCarpetaI,Fecha,Campos específicos SICUREZZA
,,,,,DatDoctoDetail.DeducibleTra,Transportes Deducible,,,,DatDocumentos.Comision11,Adicional 5,,,,FPendDenunciaI,Fecha,
,,,,,DatDoctoDetail.Capacidad,Aviones Capacidad Cascos,,,,DatDocumentos.PorCom11,% Com. Adicional 5,,,,FProcCiaI,Fecha,
,,,,,DatDoctoDetail.Puerto,Aviones  Aeropuerto o Puerto Cascos,,,,,,,,,FEnGruasI,Fecha,
,,,,,DatDoctoDetail.BaseAerea,Aviones Base Aerea,,,,,,,,,FSinIngresoCDRI,Fecha,
,,,,,DatDoctoDetail.Tripulantes,Aviones Tripulantes,,,,Pagos de Recibos,,,,,FProcesoLegalI,Fecha,
,,,,,DatDoctoDetail.Clausulas,Aviones  Clausulas,,,,Campo,Descripcion,Comentarios,,,FProcesoReparacionI,Fecha,
,,,,,DatDoctoDetail.Limites,Aviones Limites,,,,DatPagosRec.IDPagoRec,ID del Pago de Recibo,-1 Para Nuevo,,,FTermPendPagoDedI,Fecha,
,,,,,DatDoctoDetail.ValorCasco,Aviones Valor del Casco,,,,DatPagosRec.IDRecibo,ID Autonumerico de los Recibos o Parcialidades,,,,FPendRecolectarI,Fecha,
,,,,,DatDoctoDetail.DedVuelo,Aviones Deducible en Vuelo,,,,DatPagosRec.Importe,Importe Pagado ya Convertido al Tipo de Moneda del Documento,,,,FCerradoI,Fecha,
,,,,,DatDoctoDetail.DedTierra,Aviones Deducible en Tierra,,,,DatPagosRec.TPago,Tipo de Pago,0Directo 1 TC,,,FFecha1I,Fecha,
,,,,,DatDoctoDetail.Clase,Aviones Clase,,,,DatPagosRec.IDTarjeta,Identificador Autonumérico de catálogo de tarjetas,,,,FFecha2I,Fecha,
,,,,,DatDoctoDetail.NombreBarca,Barcos Nombre Embarcacion,,,,DatPagosRec.FPago,Fecha de Cobro,,,,FPendCarpetaF,Fecha,
,,,,,DatDoctoDetail.Manga,Barcos Manga,,,,DatPagosRec.FolioCh,Folio de Cheque de Entrada,,,,FPendDenunciaF,Fecha,
,,,,,DatDoctoDetail.Eslora,Barcos Eslora,,,,DatPagosRec.TipoDocto,Tipo de Documento,,,,FProcCiaF,Fecha,
,,,,,DatDoctoDetail.Puntual,Barcos Puntual,,,,DatPagosRec.Banco,Banco,,,,FEnGruasF,Fecha,
,,,,,DatDoctoDetail.TonelajeB,Barcos Tonelaje Bruto,,,,DatPagosRec.FolioDocto,Folio de Documento Pago,,,,FSinIngresoCDRF,Fecha,
,,,,,DatDoctoDetail.Bandera,Barcos Bandera,,,,DatPagosRec.FDocto,Fecha del Documento,,,,FProcesoLegalF,Fecha,
,,,,,DatDoctoDetail.MaterialF,Barcos Material de Fabricacion,,,,DatPagosRec.NLiquidacion,Número de Liquidación,,,,FProcesoReparacionF,Fecha,
,,,,,DatDoctoDetail.ValorEmbarca,Barcos Valor Embarcacion,,,,DatPagosRec.FLiquidacion,Fecha de liquidación o pago,,,,FTermPendPagoDedF,Fecha,
